,esg_id,company_name,exchange_symbol,stock_symbol,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,total_grade,total_level,disclaimer,last_processing_date,environment_score,social_score,governance_score,total
0,7009,"Tesla, Inc.",NASDAQ,TSLA,A,High,CC,Low,CCC,Low,BB,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",02-12-2021,528,144,155,827
0,4214,Lam Research Corporation,NASDAQ,LRCX,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",01-12-2021,505,303,300,1108
0,5704,Pool Corporation,NASDAQ,POOL,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",01-12-2021,505,300,308,1113
0,3864,Intuit Inc.,NASDAQ,INTU,AA,Excellent,BB,Medium,BB,Medium,A,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",30-11-2021,615,343,313,1271
0,121,Adobe Inc.,NASDAQ,ADBE,B,Medium,B,Medium,B,Medium,B,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",14-11-2021,240,202,200,642
0,8742,Lindian Resources Limited,ASX,LIN,DDD,Low,B,Medium,B,Medium,CCC,Low,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",03-12-2021,60,240,275,575
0,929,"Best Buy Co., Inc.",NYSE,BBY,BBB,High,B,Medium,BB,Medium,BB,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",14-11-2021,464,227,300,991
0,4720,Microsoft Corporation,NASDAQ,MSFT,BBB,High,B,Medium,B,Medium,BB,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",01-12-2021,455,238,225,918
0,5244,NVIDIA Corporation,NASDAQ,NVDA,BB,Medium,BB,Medium,B,Medium,BB,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",01-12-2021,343,303,275,921
0,6241,"salesforce.com, inc.",NYSE,CRM,BB,Medium,B,Medium,B,Medium,B,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",02-12-2021,300,250,245,795
