Date,subj_score,simi_score,vader_score,scores_flair,tw_subj_score,tw_simi_score,tw_vader_score,tw_scores_flair
8/30/2021,0.220618659,0.131578222,0.46843,0.82930371,0.000481481,-0.040284273,-0.0312,0.650651713
8/31/2021,0.298811888,0.314913911,0.68232,0.850440802,0.002748148,-0.042609259,-0.025292593,0.650251561
9/2/2021,0.228122109,0.167491105,0.574075,0.833551584,0.17207655,0.308424542,0.351011111,0.91299359
9/3/2021,0.231335545,0.112461129,0.515755,0.79215371,0.076776944,-0.045358989,0.0993,0.743948749
9/6/2021,0.087361809,-0.09716571,0.220845,0.725678329,0.107624278,0.227189742,0.336718519,0.890709603
9/7/2021,0.257834149,0.335279989,0.626855,0.839339086,0.123779767,0.194710725,0.311025926,0.855768888
9/8/2021,0.264996275,0.370838984,0.647795,0.866653764,0.145060157,0.267373437,0.402996296,0.809662483
9/9/2021,0.205086727,0.233902999,0.56848,0.816541621,0.180042033,0.212405234,0.334014815,0.827013678
9/10/2021,0.170266761,0.056607364,0.410425,0.809278361,0.033998503,-0.052757646,0.066918519,0.744316922
9/13/2021,0.348426751,0.504549127,0.78472,0.880940108,0.239956634,0.511675628,0.520888889,0.912315013
9/14/2021,0.367665184,1.006391377,0.942335,0.907734759,0.065376945,0.045966497,0.145192593,0.833550736
9/15/2021,0.204160565,0.066020406,0.453225,0.800747494,0.213128311,0.346405381,0.380966667,0.918263466
9/16/2021,0.336439044,0.933243734,0.888245,0.963289061,0.030066682,0.108540607,0.209555556,0.857946341
9/17/2021,0.371572638,0.89226722,0.894215,0.957050157,0.05409058,-0.0427221,0.062814815,0.714613433
9/20/2021,0.306211447,0.575210599,0.72509,0.910413857,0.182085321,0.218450646,0.354385185,0.897350113
9/21/2021,0.184576066,0.020882357,0.39502,0.800272068,0.14446854,0.267722928,0.351944444,0.912833975
9/22/2021,0.313588611,0.467080471,0.71486,0.871642102,0.169418608,0.369872841,0.373611111,0.888915731
9/23/2021,0.295066293,0.276214173,0.60584,0.863358729,0.162428572,0.258033469,0.406403704,0.883150032
